ensemble,precision,recall,f-beta,al-step,threshold
disjunction,0.1095890410958904,1.0,0.19753086419753085,0,0
majority-vote,0.1095890410958904,1.0,0.19753086419753085,0,0.0
majority-vote,0.0,0.0,0.0,0,0.2
majority-vote,0.0,0.0,0.0,0,0.4
majority-vote,0.0,0.0,0.0,0,0.6
majority-vote,0.0,0.0,0.0,0,0.8
weighted-vote,0.1095890410958904,1.0,0.19753086419753085,0,0
weighted-vote,0.1095890410958904,1.0,0.19753086419753085,1,0
weighted-vote,0.1095890410958904,1.0,0.19753086419753085,2,0
weighted-vote,0.1095890410958904,1.0,0.19753086419753085,3,0
weighted-vote,0.1095890410958904,1.0,0.19753086419753085,4,0
weighted-vote,0.1095890410958904,1.0,0.19753086419753085,5,0
weighted-vote,0.1095890410958904,1.0,0.19753086419753085,6,0
weighted-vote,0.1095890410958904,1.0,0.19753086419753085,7,0
weighted-vote,0.1095890410958904,1.0,0.19753086419753085,8,0
weighted-vote,0.1095890410958904,1.0,0.19753086419753085,9,0
